Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GoogleTimeline/style/global.css,1,23,23,23,0.00,0.000%,43.47826,45.09,0.00,1062.0
GoogleTimeline/style/Html5ViPage.css,1,30,30,30,0.00,0.000%,33.33333,20.93,0.00,643.0
D3WordCloud/style/global.css,1,37,37,37,0.00,0.000%,27.02703,30.59,0.00,1159.0
D3WordCloud/style/Html5ViPage.css,1,29,29,29,0.00,0.000%,34.48276,21.45,0.00,637.0
DossierReact/dist/assets/default-theme/vendors_collab.commentViewer_collab.user_dossierview_library,1,30,30,30,0.00,0.000%,33.33333,400.98,0.00,12318.0
vendors_dossierview.ede,1,32,32,32,0.00,0.000%,31.25000,1242.61,0.00,40718.0
vendors_dossierview.edeaa4121b5a8a71f30e.js,1,92,92,92,0.00,0.000%,10.86957,2142.85,0.00,201874.0
DossierReact/dist/assets/styles/default-theme/dossierview_library.css,1,33,33,33,0.00,0.000%,30.30303,792.61,0.00,26784.0
DossierReact/dist/assets/default-theme/dossierview_library.js,1,44,44,44,0.00,0.000%,22.72727,1825.22,0.00,82237.0
DossierReact/dist/assets/styles/default-theme/dossierview.css,1,34,34,34,0.00,0.000%,29.41176,1514.68,0.00,52735.0
DossierReact/dist/assets/default-theme/dossierview.js,1,71,71,71,0.00,0.000%,14.08451,2490.59,0.00,181076.0
bundles/mojo-dossier.js,1,751,751,751,0.00,0.000%,1.33156,5383.23,0.00,4139832.0
libraries/webfont.js,1,27,27,27,0.00,0.000%,37.03704,489.40,0.00,13531.0
/api/objects/session,1,225,225,225,0.00,0.000%,4.44444,6.09,0.00,1402.0
authModes,1,33,33,33,0.00,0.000%,30.30303,14.47,0.00,489.0
/api/iserver/default,1,42,42,42,0.00,0.000%,23.80952,29.72,0.00,1278.0
/api/mstrAppConfig,2,42,40,45,2.50,0.000%,11.76471,9.80,0.00,853.0
/api/sessions/privileges,1,48,48,48,0.00,0.000%,20.83333,1641.42,0.00,80679.0
/api/sessions/userInfo,1,33,33,33,0.00,0.000%,30.30303,15.21,0.00,514.0
/users/userId,1,37,37,37,0.00,0.000%,27.02703,66.30,0.00,2512.0
/session/instances,1,34,34,34,0.00,100.000%,29.41176,170.84,0.00,5948.0
showDossierLibraryWelcome,1,23,23,23,0.00,0.000%,43.47826,18.55,0.00,437.0
favicon.ico,1,147,147,147,0.00,100.000%,6.80272,9.79,0.00,1474.0
/api/dossiers/5D8312F04C2E0940F99869945F8E659B/instances,1,29,29,29,0.00,100.000%,34.48276,17.34,0.00,515.0
DossierReact/dist/assets/styles/default-theme/onboarding.dossierView.css,1,27,27,27,0.00,0.000%,37.03704,250.07,0.00,6914.0
DossierReact/dist/assets/default-theme/onboarding.dossierView.js,1,30,30,30,0.00,0.000%,33.33333,2050.39,0.00,62988.0
/MicroStrategyLibrary/api/shortcuts/1710E796489BAEB80911A48668CEA033/bookmarks,1,44,44,44,0.00,100.000%,22.72727,32.69,0.00,1473.0
/MicroStrategyLibrary/DossierReact/dist/assets/styles/default-theme/filter.summary.44567b21914bd6432de7.css,1,30,30,30,0.00,100.000%,33.33333,47.95,0.00,1473.0
/MicroStrategyLibrary/DossierReact/dist/assets/default-theme/filter.summary.44567b21914bd6432de7.js,1,30,30,30,0.00,100.000%,33.33333,47.95,0.00,1473.0
