username,user_id,role_cd,time_zone,location_cd,country_cd
9357Lfrieszell,1704087,SHIFT_LDR,America/New_York,9357,US
AshleyHardman,1814859,ASSOCIATE,America/Detroit,9361,US
8500SMccauley,1613374,ASSOCIATE,America/Edmonton,8500,CA
Gagandeep7536,1822986,ASSOCIATE,America/Vancouver,7536,CA
olipat,1576492,ASSOCIATE,America/Vancouver,7516,CA
02543JMendolera,1286071,ASSOCIATE,America/New_York,6618,US
Kaur6585,1793056,ASSOCIATE,America/Toronto,6585,CA
MIHERNANDEZ818,1680716,ASSOCIATE,America/Mexico_City,7837,MX
6352KaurI,1819181,ASSOCIATE,America/Vancouver,6352,CA
7609Cculihall,1667039,ASSOCIATE,America/Edmonton,7609,CA
8366carolvasquez,1749601,ASSOCIATE,America/Edmonton,8366,CA
Northern354,1713622,REST_MGR,America/Winnipeg,8490,CA
lachariseshepherd3902,1680813,ASSOCIATE,America/New_York,7960,US
8156Nathalie,1776887,ASSOCIATE,America/Montreal,8156,CA
JacobsL4113,1711834,ASSOCIATE,America/New_York,8496,US
Nichole6584,1763898,ASSOCIATE,America/Toronto,6584,CA
5517surbhi,1476942,SHIFT_LDR,America/Vancouver,7653,CA
3186Mehakdeep,1816600,ASSOCIATE,America/Toronto,9063,CA
2643HTucker,144242,REST_MGR,America/St_Johns,8509,CA
am9999,1760663,REST_MGR,America/Toronto,-9999,CA
choi8505,1806546,ASSOCIATE,America/Toronto,8505,CA
2327SBavis,1462106,ASSOCIATE,America/St_Johns,9027,CA
Noah9254,1821161,ASSOCIATE,America/Detroit,9254,US
2394ASharma,1815139,ASSOCIATE,America/Toronto,7259,CA
0463KimK,275043,REST_MGR,America/Vancouver,6417,CA
BilliejoBaity,1780236,ASSOCIATE,America/New_York,9243,US
10731rbarth,1720112,ASSOCIATE,America/New_York,10731,US
NAJAGILMORE,1814957,ASSOCIATE,America/Detroit,10867,US
0317Vanlandeghem,1558629,ASSOCIATE,America/Detroit,10874,US
10897JAyar,1815884,ASSOCIATE,America/Detroit,10897,US
09346ABrackett,1555567,ASSOCIATE,America/New_York,10974,US
10997BPerrey,1747923,ASSOCIATE,America/New_York,10997,US
11033jwacker,1776095,ASSOCIATE,America/New_York,11033,US
Morgan11067,1511628,ASSOCIATE,America/New_York,11067,US
Trescas,1749660,ASSOCIATE,America/New_York,11074,US
Gotthelfian01!,1750757,ASSOCIATE,America/New_York,2546,US
03546SVickery,1160289,REST_MGR,America/New_York,3546,US
3782LNorthern,1818578,ASSOCIATE,America/Detroit,3782,US
3805korry,1359972,ASSOCIATE,America/New_York,3805,US
KermisM,1763119,ASSOCIATE,America/New_York,4082,US
4411HJohnson,1280693,MUM,America/Detroit,4175,US
charleshayes,1769139,ASSISTANT_MGR,America/New_York,4182,US
abaranski,1455451,SHIFT_LDR,America/New_York,4184,US
4341cfletcher,1718284,ASSOCIATE,America/Detroit,4341,US
4758CMartin,1257284,REST_MGR,America/Detroit,4575,US
04675cgary,1800960,ASSOCIATE,America/Detroit,4675,US
05637jmelsop,1048402,ASSOCIATE,America/New_York,4682,US
4775cvillalobos,1801935,ASSOCIATE,America/Detroit,4775,US
amritsaini,51222,ASSOCIATE,America/Detroit,4777,US
4841AHOWARD,1577329,ASSOCIATE,America/New_York,4841,US
4918KPerkins,1802003,ASSOCIATE,America/New_York,4918,US
ankash,1356578,MUM,Asia/Dubai,5077,KW
HSaid5118,1633668,ASSOCIATE,America/New_York,5118,US
05318evansteeland,1781520,ASSOCIATE,America/Detroit,5318,US
5611ujackson,1421090,ASSOCIATE,America/Detroit,5611,US
kcrawford01,1586095,MUM,America/New_York,5620,US
5654terrance,1795214,SHIFT_LDR,America/Detroit,5654,US
desiree5749,1512157,MUM,America/New_York,5677,US
05747ctrawick,1801864,ASSOCIATE,America/New_York,5747,US
BaileyM,1665912,ASSOCIATE,America/Detroit,5754,US
05877MLittle,1747002,SHIFT_LDR,America/New_York,5877,US
viraji2017,1545005,ASSOCIATE,America/New_York,6390,US
06490Kobeissih,1732326,ASSOCIATE,America/Detroit,6490,US
crystalwilliamson,1111739,ASSOCIATE,America/Detroit,6647,US
Soneal6648,1579996,ASSOCIATE,America/Chicago,6649,US
6654JWilliams,1757732,ASSOCIATE,America/New_York,6654,US
07483LDiaz,1535246,SHIFT_LDR,America/New_York,7483,US
7485SGillam,1810671,ASSOCIATE,America/New_York,7485,US
7492MGoodman,1744278,ASSOCIATE,America/New_York,7492,US
tclifford7919,1742598,SHIFT_LDR,America/Chicago,7919,US
5865lashawndra,1653200,REST_MGR,America/Detroit,9019,US
SHanna9021,1754236,ASSOCIATE,America/New_York,9021,US
9298SAPPHIRE,1583226,SHIFT_LDR,America/Detroit,9298,US
09355lacy,1767177,ASSOCIATE,America/New_York,9355,US
7558gurpreet,1684880,SHIFT_LDR,America/Toronto,7558,CA
6413Kiranjeet,1804258,ASSOCIATE,America/Vancouver,6413,CA
7360nancy,1648364,REST_MGR,America/New_York,7360,US
8435fmcleod,1819323,ASSOCIATE,America/Regina,8435,CA
8142harinder,1687922,ASSOCIATE,America/Toronto,8142,CA
7515Navi,1809632,ASSOCIATE,America/Edmonton,7515,CA
Maurice.Lebrun,23291,MUM,America/Toronto,8466,CA
2632SMAHBOOB,268634,ASSOCIATE,America/Toronto,6221,CA
7702jwright,1791489,ASSOCIATE,America/St_Johns,7702,CA
